"series","species","site"
19,"Fagus sylvatica","Bachtel-Forest"
120,"Quercus petraea","Bueren-Forest"
121,"Quercus petraea","Bueren-Forest"
136,"Carpinus betulus","Bursins-Forest"
137,"Carpinus betulus","Bursins-Forest"
138,"Carpinus betulus","Bursins-Forest"
139,"Carpinus betulus","Bursins-Forest"
193,"Corylus avellana","Choeliacher-Orchard"
194,"Corylus avellana","Choeliacher-Orchard"
288,"Picea abies","Davos-Seehornwald"
347,"Picea abies","Davos-Seehornwald"
357,"Picea abies","Davos-Seehornwald"
377,"Fagus sylvatica","Genolier-Forest"
379,"Fagus sylvatica","Genolier-Forest"
380,"Fagus sylvatica","Genolier-Forest"
557,"Picea abies","Hohtenn-Gampel-Forest"
558,"Picea abies","Hohtenn-Gampel-Forest"
664,"Picea abies","Laegeren-Hut"
696,"Pinus sylvestris","Lens-Forest"
817,"Pseudotsuga menziesii","Muri-Forest"
838,"Pseudotsuga menziesii","Muri-Forest"
849,"Fagus sylvatica","Neunkirch-North"
850,"Fagus sylvatica","Neunkirch-North"
853,"Quercus petraea","Neunkirch-Southeast"
854,"Quercus petraea","Neunkirch-Southeast"
856,"Fagus sylvatica","Neunkirch-Southwest"
937,"Pinus sylvestris","Pfynwald-Control"
970,"Picea abies","Pfynwald-Illgraben-Northwest"
971,"Picea abies","Pfynwald-Illgraben-Northwest"
1009,"Pinus sylvestris","Pfynwald-Irrigation"
1010,"Pinus sylvestris","Pfynwald-Irrigation"
1011,"Pinus sylvestris","Pfynwald-Irrigation"
1114,"Fagus sylvatica","Saillon-A860"
1169,"Fagus sylvatica","Schaenis-low"
1180,"Picea abies","Schmitten-Forest"
1181,"Picea abies","Schmitten-Forest"
1182,"Picea abies","Schmitten-Forest"
1183,"Picea abies","Schmitten-Forest"
1184,"Picea abies","Schmitten-Forest"
1186,"Picea abies","Schmitten-Forest"
1187,"Picea abies","Schmitten-Forest"
1232,"Fagus sylvatica","Sihlwald-Forest"
